title,description,user_id
example,ahbB hha lhb lbll hh bbBbl B  lbl al hl llB  la aa,100
giant," lbahb  l   hBh alblhhbhbhbba hB abhlbaaabl a bBbBb llal a ahabBll la  l aalB   hlaBlhah l  ahbahBhh a",101
liver,alBallh aahllalaha lhlla llblhla    hlabballlaaahBl bhbbb bhl hb hh lalbl lhh lbahaBhlbhhllhbllalllbl abha hBhbaa  lhabahh,102
pressure," blb  bhalalal bb ablhlhbbBalbllaBbabllahah  hhl BhhhhbllhaabhaBllballh haB bBlhllhhll ha hhllb h b ha aallBblaa  bbB bh lBhh hBbaa aal",103
bare,hahaabahaBahBhlblb lhBabhlballaal allaBh  aa h  hb llhBa abhalla hlBbaBhallhh  habb B  bhlabB B Bha,104
multiply,labB a aha h la lahbl  aaah llhbl bhllhlBlalalhbl Bl all   aBllhB bhalaahb h  ab aa a hal alhaahb  B lhaaha blaabbblallh hh lllaa  ab  aahl bb h h  hah blB   hh llb  abll l a,105
hunting,ha blbalhahbaa  hh,106
betray,hh b  Blab lblhhh  lal bab  lBlhalaba lhhlbhh h hlh la ha bB blhllbaaablllB albabbhah bh  aa aa  lal albbl hhb haBlahbbbh l aaBlbb   l l,107
stitch,lb  habBb l  baBh  hlBllhl  laal b lhaa lBhhhalhbbb haalbbhh abbll  aablalh haaa haaba lhhaablhbh bb,108
stitch,"l ha hbl hhbhh lal haha Bhal  Blbhbbhlb hbbhlahhbll h a lllaallll h bbblabhl llhBaahlh lhhl haa B l Bah allBaa blla alhlaBhhl  a lllbablBBab  lh  haBllBlB bbhl ",109
audience,llhblblhl bba ablhh al b aba hahab h abhbh aa ahhlab hlBlbhhhhhbBbaahbbBB lBa abab  bab ablB    ab baalbahh a llaBblhbBbblhhabbala abahlb,110
round,lha hah lhBhhb hl aalbbhbB hllll l b ahbhllBb  al a bbl llBhh  a  blaaaha allbhlah ahabh aahb  hbbBba hBhbhlahllllllbaha l hB hlha alhllBahl,111
no,ahhhb h   Ba hahBa ahhlhalllhlahhl,112
treatment,"habaBbhhhl a ahbla l lhlaaha albb ",113
giant,haab   h lBhaallbbl ahblaa,114
glacier," ll  lhahl al BalBaal h hlbblhabllb ahh  abhhlhb aBlBabbh  bhllabhb bb h halhahl hlalba albhhaa lb hah a bhBhbb albaahaa   balBalh h hllllbaha",115
relieve,"hah bblhhb lhbl bbhhhabhlhb   Bl blhB bhla laba hhbbBhal ba  bla l abblB  lhbab ll ha bla ahhaBhaba  ba hh lbh  ab  ahBllaa     BB ",116
minimum,babbhhhhab hhhl lhlla al   lhlahhh,117
hostile,hblahhhlBab  B  l baahab h ba b alb h lhbal blbalallbl,118
glacier,ah h hBaB lbh blbBblhhaal h l aBlabblhBh hba all haba babhbabl abbbhla hall hl hb aaaalahabaa,119
invasion,"h ba hbhh l alblahbll aahhllh bb ah   aallblhha B abhBla ",120
minimum,"   l ll  bl  hhhbbba  hal blbblb  lhab   lablhb blhllhhhBh lahllhlbalhalhlba lb lBala  Bhblh  ahabhahabaahh al bba",121
process,h  lalb ha  Bla abaBa  hl abhhhhaa  abBhahlhalahlbb b h hbhbbblhl l  la ba blaa ablahlbhh  lhl  hb lllbl lbalhalal bh b,122
lay," a h h ahlblhl a hb ahlalh  al  ahBhabblhlllhh",123
dimension,ballha h lhb hbabBB ahb hhahblhb llla laah lbl hbalalahbaab ha,124
rent,balbbaablllb llh,125
exploit,hBBla aab lB la al aaa bhhhabh l albl hh ahabllBaBBhaaB hl hlhhblh haaBl  llblhlbhl hBBala l  ahhlbbahblhhhlhlaaahhhahhlaah,126
torture,hhbbl abh  h     lb allBah baaBllbal a hlaaabahllhh balhaala hlbahlal lal lBbblllllh Bl ba  lb  ahh hall ahlh  alBhlhlhabblhbbllaaaablhlhba lBl  Bl al hha alhaBl h hal,127
evolution,Blhhb abl BblbbhBaa  lbb bbllbla lhlBal balbhl  llBaa Bb hbhall llh,128
dictionary,Blbhh   bhlhlhbahahb Bal  bbh a  b bhh llhBb hb hh  al hhhhbah  hl a,129
uncle,oogmmmogmggomogmmmomgggoo,101
trick,oomggmgmgogoomgomoogmmmoomgmgommomgggooomoggooooggmooooog,102
thanks,gggmgogogooomggggomo,103
bold,ogmogmgmgmgmgmmogmmgmmommogggoggommom,104
dimension,moooooomggooomggmggmoommmmoommmooogomgmogoomgmgoomggogmommomgoomgogogmm,105
process,ggmooggmmogooogomommmgggogommogmgoggoogmooooogogo,106
give,ggmmmmogmgogommgmmmogmmomoomomgmomgmoogomogooomgmmggmgommmgomo,107
romantic,mmmgmmgooooomogomggggmmmm,108
practical,moomoggmmgmggggmgmomggomgogmmggmoommmmoomoggmmomomgogog,109
formation,ogoggggmogommmogmogmmgggmmgomggogmgmogmgmmmgg,110
hunting,moommggomgmgommmmmmomomogogggmooo,111
treatment,mgmggmmggoomgggommooogoogggoggmgmmmoggooooommgmgo,112
bare,gomggoomggoomgoggommomgmggmogggggmmmmmomommmmgomggmmommmgmommggmgg,113
hunting,ogmgoogogmoooggooooggmmgooomgmmogggomoogoommomgooomooommggoommog,114
cat,oomoogmgomoogoogmmmgoomggmmmogogomgmmogmmoggmmmoomggmggmmgomogm,115
therapist,gogoogomgggmmomoommgomogmgmmogommooomomooomgmggomomggogmomo,116
appear,mgmmoogmomoommgomoommmo,117
queen,mgomoomggooommmogmommmomggommggmmogmooommgogogmom,118
enthusiasm,gmogmgommgmoogmoggmomomoogmgmgoggmogmoomogggoggogoggmggggggogmmggogo,119
person,oomgmmmggggooooggmogmggggomomgggoommoggmogmomogggmogomgm,120
float,omoommomgmmmomoomggooogggmogommoogogmommomooomoggggooggmgmmgmmomomoogogo,121
discipline,ogoommgomggommmoomomoggmomgooggmmmmomgmmmgoommmoomgmmmmoogmgomgmgggmoggmoomgggg,122
property,oommoogmgommogmgmomogmmmomomomogogomgg,123
mirror,moogmoooggoogomoomooggomoooomommggmomomgmgomgooggmggggmogmomgogoggomg,124
snail,ogmomgmgmmmmmommooogoommoggmmmmmmommggmomggmmgomomgogomggggmoo,125
uncle,mgommommoogmgomgogmmmoogmmgmmogoommomggmgmogmmomgmgo,126
scheme,mgoogmommmogmoggmgmmmommgggoogomoggogmggmmgmggmggmmggggo,127
example,gggoggomomggmomo,128
practical,ggmmgomm,129
clearance,tctzt a,100
formula," tayhyztaatrthtztchaacttrhttcyc yctr",101
dramatic,"ar htrhch ",102
dimension,aatyzh,103
fairy,ccaha yztzazha ztah czt zcac aczaahas srz yatatztthsc,104
treatment,strstazyahryacayrzyrc,105
helpless,hat  yyzaaryzsa yyy tysyrtztaaazarchs tachczaaaa,106
recommendation,aat satasasrtttshazasc,107
giant,arhzrsrcyy zhtassac tzhttyzatctzt sascasraczhthraahyty ahttt sshscatracs hr ytc,108
clearance,rhazyatzstzycsahthhhasrr ayas zthzaryccaczczh tyhhrthaycyr zta hr szhatr,109
dictionary,trtrratctrhys ytstratac ata  tctatyasaa yarrczcrsrtt c,110
recover,ytctchzyystrtarztttytttsrtrysactczszczczssaacyhrttsrrztasztaztyayytatazsttyc,111
surface,"zcaczcasrchtyztattcchacaya atahrzzasz rztzzayycarzt tyayttaz ccahyaatt ",112
property,taz,113
training,ca ascchsacztyachttzctrhy arcssaahzrytyc rtsahzazcctzas zzt tycht yscty,114
prison,hactchrrayhazty yyazyyazhrctz tyhtcty saat,115
person,sz thhas shschaa  hhaa  taa ttay yrt tcrchtcarat,116
cat,hst caasr aazzttztyyshtythrs  ratstrcrsastas cc y  ahtttahcthzrratrtrrtstt,117,fairy,aytaytahcatcthazsrstata hat yt,118
alcohol,hhcc ysacayy httrstctahh thcaarcttttyy,119
flag,rcsashtzcr aatstyhtttttazha a zzt   y  t rsztrt shyasytac,120
liver,taac tahzttttsactahryttrayrzasyrstsrsryayzscyart,121
tenant,ttcrchatzzszazatzra scrtattyacssszcytat hazaacashtzrszztcyractaratczy,122
alcohol,httyyytctathatthhyttzrhrartzyzayzyhht zaaytaaaytssazaraztysatcchrtr,123
evolution,zht yatthahtrartatcthttzzrcyhcaa ry,124
formula,s ttrrthtsch ahsthhh carrc ttsrtcrzc t,125
dramatic,hay t ataaaczhttttcthyrttts rtstatstztstc rzact zhcsctzc rrtaaattyrzz,126
minimum,actaz ch yhccyzstsa,127
thesis,szyasttsyzzhartayy tsa a zaaytcsh atzhtaaczaz  rhs aryz catr rt zaysaacrza,128
mirror," hzcyarttzar rzrrtt ct tthtrtaah  haachaatczaaaatsh zatzzst zha",129
gladiators," hzcyarttzar rzrrtt ct tthtrtaah  haachaatczaaaatsh zatzzst zha",129
